iter	Passed	Remaining
598	17024	11397
599	17059	11373
600	17087	11344
601	17119	11318
602	17148	11290
603	17176	11261
604	17200	11230
605	17225	11199
606	17261	11175
607	17289	11147
608	17315	11117
609	17344	11089
610	17384	11067
611	17411	11038
612	17434	11006
613	17462	10978
614	17487	10947
615	17515	10918
616	17546	10891
617	17574	10863
618	17602	10834
619	17630	10805
620	17652	10773
621	17677	10742
622	17718	10722
623	17745	10693
624	17775	10665
625	17808	10639
626	17836	10611
627	17863	10581
628	17896	10555
629	17929	10529
630	17955	10500
631	17999	10481
632	18030	10453
633	18058	10424
634	18083	10394
635	18109	10364
636	18135	10334
637	18159	10303
638	18188	10275
639	18214	10245
640	18241	10216
641	18268	10187
642	18294	10157
643	18324	10129
644	18348	10099
645	18373	10068
646	18397	10037
647	18422	10007
648	18451	9979
649	18477	9949
650	18504	9920
651	18533	9891
652	18569	9867
653	18593	9837
654	18619	9807
655	18696	9804
656	18723	9775
657	18756	9748
658	18785	9720
659	18813	9691
660	18839	9662
661	18866	9632
662	18895	9604
663	18928	9578
664	18964	9553
665	18990	9523
666	19020	9496
667	19054	9470
668	19080	9440
669	19107	9411
670	19133	9381
671	19176	9359
672	19200	9329
673	19229	9300
674	19253	9270
675	19285	9243
676	19314	9215
677	19339	9185
678	19370	9157
679	19395	9127
680	19421	9097
681	19447	9067
682	19476	9039
683	19502	9010
684	19532	8982
685	19562	8954
686	19591	8926
687	19618	8896
688	19644	8867
689	19671	8838
690	19703	8811
691	19728	8780
692	19756	8752
693	19787	8724
694	19822	8698
695	19850	8670
696	19877	8640
697	19902	8611
698	19931	8582
699	19973	8560
700	20003	8532
701	20035	8505
702	20064	8476
703	20090	8447
704	20129	8423
705	20155	8393
706	20177	8362
707	20206	8333
708	20238	8306
709	20264	8277
710	20290	8247
711	20316	8217
712	20344	8189
713	20370	8159
714	20397	8130
715	20424	8101
716	20461	8076
717	20487	8046
718	20518	8019
719	20544	7989
720	20578	7963
721	20605	7933
722	20633	7905
723	20660	7876
724	20687	7847
725	20716	7818
726	20745	7790
727	20773	7761
728	20794	7730
729	20816	7699
730	20843	7670
731	20873	7642
732	20897	7612
733	20936	7587
734	20983	7565
735	21018	7539
736	21045	7509
737	21072	7481
